,,Regret,Regret,Accuracy,Accuracy,Fuzzy Accuracy,Fuzzy Accuracy
,,mean,std,mean,std,mean,std
model,Reward Structure,,,,,,
greedy_first,fuzzy,842.74,57.062,0.6215,0.0123,0.8465,0.0104
greedy_first,hill-climbing,1259.5265,66.1546,0.6276,0.0147,0.8501,0.0129
greedy_first,prob-based,715.2422,142.2629,0.488,0.0476,0.7252,0.0475
greedy_first,proportional,9417.5094,572.4128,0.4688,0.0543,0.7085,0.0548
greedy_first,risk-sensitive,2142.95,194.0433,0.6207,0.0269,0.8397,0.0268
greedy_first,standard,2082.6429,104.6626,0.6206,0.0191,0.8413,0.0198
hybrid_linucb,fuzzy,730.88,19.3366,0.6456,0.0059,0.8668,0.0035
hybrid_linucb,hill-climbing,1154.5263,16.4764,0.6517,0.0045,0.8694,0.0028
hybrid_linucb,prob-based,709.5327,56.2432,0.5792,0.0253,0.8093,0.0192
hybrid_linucb,proportional,8546.243,142.3865,0.5139,0.0448,0.7619,0.0381
hybrid_linucb,risk-sensitive,1933.36,22.1265,0.651,0.0041,0.8686,0.003
hybrid_linucb,standard,1933.66,21.2695,0.6477,0.0039,0.8652,0.003
lasso,fuzzy,771.04,33.2222,0.6363,0.0087,0.8595,0.0061
lasso,hill-climbing,1187.9028,21.5329,0.6436,0.0054,0.8637,0.0038
lasso,prob-based,916.4098,110.749,0.5818,0.0334,0.8096,0.0273
lasso,proportional,8714.6985,253.9812,0.5117,0.0388,0.7562,0.0333
lasso,risk-sensitive,1973.6667,36.1539,0.6434,0.0065,0.8627,0.0046
lasso,standard,1966.7667,41.9569,0.6417,0.0076,0.8615,0.0048
linucb,fuzzy,728.28,20.6329,0.6466,0.0061,0.8673,0.0038
linucb,hill-climbing,1159.3303,17.4197,0.6507,0.0042,0.8684,0.0034
linucb,prob-based,726.6642,65.1236,0.5784,0.0251,0.8074,0.02
linucb,proportional,8510.6707,105.0766,0.4982,0.0497,0.7491,0.042
linucb,risk-sensitive,1931.52,24.5617,0.6513,0.0044,0.8691,0.0032
linucb,standard,1929.08,22.9069,0.6486,0.0042,0.8664,0.0032
